continent	country	year	type	amount
Oceania	New Zealand	2009	All types	9.23
Oceania	New Zealand	2009	Beer	3.78
Oceania	New Zealand	2009	Wine	3.03
Oceania	New Zealand	2009	Spirits	2.38
Oceania	New Zealand	2009	Other alcoholic beverages	0.04
North America	Nicaragua	2009	All types	3.32
North America	Nicaragua	2009	Beer	1.3
North America	Nicaragua	2009	Wine	0.01
North America	Nicaragua	2009	Spirits	2
North America	Nicaragua	2009	Other alcoholic beverages	0
Africa	Niger	2009	All types	0.1
Africa	Niger	2009	Beer	0.05
Africa	Niger	2009	Wine	0.01
Africa	Niger	2009	Spirits	0.04
Africa	Niger	2009	Other alcoholic beverages	0
Africa	Nigeria	2009	All types	10.49
Africa	Nigeria	2009	Beer	0.65
Africa	Nigeria	2009	Wine	0.02
Africa	Nigeria	2009	Spirits	0.03
Africa	Nigeria	2009	Other alcoholic beverages	9.8
Oceania	Niue	2009	All types	7.06
Oceania	Niue	2009	Beer	3.1
Oceania	Niue	2009	Wine	0.36
Oceania	Niue	2009	Spirits	3.6
Oceania	Niue	2009	Other alcoholic beverages	0
Europe	Norway	2009	All types	6.68
Europe	Norway	2009	Beer	2.96
Europe	Norway	2009	Wine	2.28
Europe	Norway	2009	Spirits	1.31
Europe	Norway	2009	Other alcoholic beverages	0.13
