Country	Beverage Types	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
Croatia	 All types	12.07	12.3	12.28	11.84	11.58	13.12	13.8	14.83	14.56	14.06
Croatia	 Beer	4.76	5.03	5.13	4.98	4.85	4.94	5.14	5.03	5.26	5.15
Croatia	 Wine	5.66	5.62	5.5	5.2	5.08	6.5	6.81	7.95	7.42	7.07
Croatia	 Spirits	1.24	1.25	1.24	1.27	1.27	1.31	1.83	1.81	1.84	1.81
Croatia	 Other alcoholic beverages	0.42	0.42	0.41	0.39	0.38	0.38	0.03	0.03	0.04	0.04
Cuba	 All types	4.04	4.28	4.13	4.19	4.49	4.4	4.41	4.12	4.07	3.94
Cuba	 Beer	1.59	1.66	1.61	1.57	1.48	1.53	1.51	1.32	1.31	1.33
Cuba	 Wine	0.09	0.08	0.06	0.07	0.05	0.05	0.05	0.05	0.05	0.04
Cuba	 Spirits	2.33	2.53	2.44	2.53	2.93	2.8	2.85	2.76	2.71	2.57
Cuba	 Other alcoholic beverages	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0
Cyprus	 All types	10.81	12.03	11.58	11.48	11.41	13.03	10.62	11.68	10.16	9.56
Cyprus	 Beer	3.69	3.9	3.71	3.58	3.62	3.6	3.56	3.5	3.71	3.69
Cyprus	 Wine	2.6	2.97	2.92	2.92	2.79	2.64	2.5	2.7	2.47	2.52
Cyprus	 Spirits	4.52	5.17	4.95	4.97	5	6.79	4.55	5.47	3.97	3.35
Cyprus	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Czechia	 All types	13.31	13.35	13.35	13.12	13.26	13.31	13.88	13.72	13.75	13.98
Czechia	 Beer	7	7.15	7.03	7.03	7.39	7.55	7.63	7.57	7.46	7.64
Czechia	 Wine	2.45	2.45	2.46	2.34	2.23	2.23	2.24	2.25	2.38	2.39
Czechia	 Spirits	3.86	3.74	3.86	3.75	3.64	3.53	4.01	3.9	3.92	3.94
Czechia	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Democratic People's Republic of Korea	 All types	3.35	3.16	3.13	3.28	3.2	3.13	3.13	3.09	2.54	3.54
Democratic People's Republic of Korea	 Beer	0.15	0.14	0.18	0.19	0.19	0.19	0.21	0.2	0.2	0.23
Democratic People's Republic of Korea	 Wine	0	0	0	0	0	0	0	0	0	0
Democratic People's Republic of Korea	 Spirits	3.2	3.02	2.95	3.09	3.01	2.94	2.92	2.89	2.34	3.31
Democratic People's Republic of Korea	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Democratic Republic of the Congo	 All types	1.17	1.26	1.08	0.77	0.7	0.62	0.48	0.52	0.47	0.55
Democratic Republic of the Congo	 Beer	0.54	0.53	0.48	0.41	0.33	0.31	0.27	0.27	0.26	0.29
Democratic Republic of the Congo	 Wine	0.23	0.18	0.23	0.02	0.01	0.01	0.01	0	0	0
Democratic Republic of the Congo	 Spirits	0.02	0.07	0.03	0.04	0.03	0.03	0.01	0.01	0.02	0.01
Democratic Republic of the Congo	 Other alcoholic beverages	0.38	0.49	0.34	0.31	0.33	0.27	0.19	0.24	0.19	0.25
Denmark	 All types	10.09	10.71	11	11.02	11.27	11.27	11.54	11.33	11.55	11.68
Denmark	 Beer	4.13	4.51	4.77	4.92	5.05	5.11	5.47	5.48	5.56	5.75
Denmark	 Wine	4.38	4.47	4.42	4.34	4.44	4.32	4.47	4.43	4.59	4.52
Denmark	 Spirits	1.52	1.66	1.74	1.69	1.78	1.85	1.6	1.42	1.39	1.41
Denmark	 Other alcoholic beverages	0.05	0.06	0.07	0.07	0	0	0	0	0	0
Djibouti	 All types	0.49	0.45	0.46	1.02	1.23	1.18	1.02	1.03	0.95	1.34
Djibouti	 Beer	0.21	0.17	0.18	0.2	0.21	0.24	0.24	0.3	0.22	0.23
Djibouti	 Wine	0.07	0.06	0.06	0.04	0.08	0.07	0.08	0.07	0.06	0.03
Djibouti	 Spirits	0.21	0.21	0.22	0.75	0.94	0.87	0.7	0.66	0.67	1.08
Djibouti	 Other alcoholic beverages	0	0.01	0.01	0.03	0	0	0	0	0	0
Dominica	 All types	7.45	9.74	8.51	8.62	8.12	8.42	7.15	8.36	8.62	8.86
Dominica	 Beer	0.43	0.98	0.83	0.77	0.5	0.85	0.3	0.82	0.98	0.8
Dominica	 Wine	0.63	1.36	1.13	0.71	0.86	0.76	0.81	0.99	0.89	1.17
Dominica	 Spirits	6.35	7.38	6.53	7.11	6.69	6.79	6.03	6.51	6.72	6.85
Dominica	 Other alcoholic beverages	0.05	0.03	0.02	0.03	0.07	0.01	0.01	0.03	0.02	0.04
Dominican Republic	 All types	6.15	6.21	6.14	6.3	5.79	5.23	6.4	6.51	6.21	6.66
Dominican Republic	 Beer	3.24	3.08	2.92	3.38	2.75	2.06	2.65	2.72	2.41	2.66
Dominican Republic	 Wine	0.15	0.15	0.16	0.15	0.13	0.13	0.16	0.14	0.14	0.21
Dominican Republic	 Spirits	2.68	2.91	3	2.7	2.85	2.98	3.59	3.64	3.65	3.78
Dominican Republic	 Other alcoholic beverages	0.07	0.06	0.06	0.06	0.06	0.05	0	0	0	0
Ecuador	 All types	3.88	3.77	3.64	3.54	3.56	3.66	3.7	3.87	4.12	3.97
Ecuador	 Beer	2.62	2.4	2.17	2.1	1.92	1.82	1.76	1.64	1.5	1.34
Ecuador	 Wine	0.04	0.04	0.07	0.05	0.04	0.05	0.05	0.04	0.05	0.03
